,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
Revision:           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type:               ,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation,interpolation
Start:              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Points:             ,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
Count:              ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XDispRange:         ,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07,5.00000E-07
XDispOrg:           ,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07,-2.50000000000E-07
XInc:               ,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09,2.500000000E-09
XOrg:               ,-6.29983456597E-07,-6.28172009470E-07,-6.29968322985E-07,-6.29957306210E-07,-6.29518512293E-07,-6.28845651179E-07,-6.29818322747E-07,-6.28331231880E-07,-6.27595800908E-07,-6.29678112840E-07,-6.29095425154E-07,-6.29874682898E-07,-6.28711138848E-07,-6.29525088216E-07,-6.28249960421E-07,-6.27547491560E-07
Units:              ,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second,Second
XReference:         ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
YDispRange:         ,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00,1.60000E+00
YDispOrg:           ,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01,-5.00000000000000E-01
YInc:               ,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05,2.4437927663734E-05
YOrg:               ,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01,-4.99217986314760E-01
Units:              ,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt,Volt
YReference:         ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Frame:              ,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128,MXR608A:MY60320128
Date:               ,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999,1 JAN 1999
Time:               ,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Time Since Seg 1::  ,0.0E+00,6.56924E-03,6.96851E-03,9.96832E-03,1.11620E-02,2.10461E-02,2.17337E-02,2.42005E-02,2.71132E-02,3.08012E-02,3.19829E-02,3.36848E-02,3.44367E-02,3.54549E-02,4.24227E-02,4.62449E-02
Max Bandwidth:      ,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000,184332000
Min Bandwidth:      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.49983E-07, 7.8201E-04, 6.568989914E-03, 3.86119E-03, 6.968259982E-03, -1.09971E-03, 9.968072602E-03, -2.15054E-03, 1.1161745022E-02, 3.73900E-03, 2.1045860212E-02, 2.07722E-03, 2.1733422521E-02, -9.2864E-04, 2.4200264836E-02, 1.22190E-03, 2.7112972520E-02, -1.19746E-03, 3.0800967564E-02, -2.95699E-03, 3.1982647514E-02, -1.63734E-03, 3.3684567447E-02, 1.56403E-03, 3.4436462736E-02, 2.27273E-03, 3.5454674922E-02, 1.24633E-03, 4.2422419780E-02, -9.7752E-04, 4.6244652623E-02, 1.09971E-03
-2.49827E-07, 1.00196E-03, 6.568990070E-03, 3.81232E-03, 6.968260138E-03, -8.7977E-04, 9.968072758E-03, -2.05279E-03, 1.1161745178E-02, 3.86119E-03, 2.1045860368E-02, 2.41935E-03, 2.1733422677E-02, -7.0870E-04, 2.4200264992E-02, 1.39296E-03, 2.7112972676E-02, -1.27077E-03, 3.0800967720E-02, -3.00587E-03, 3.1982647670E-02, -1.41740E-03, 3.3684567603E-02, 1.46628E-03, 3.4436462892E-02, 2.66373E-03, 3.5454675078E-02, 1.36852E-03, 4.2422419936E-02, -1.19746E-03, 4.6244652779E-02, 1.09971E-03
-2.49671E-07, 1.12414E-03, 6.568990226E-03, 3.69013E-03, 6.968260294E-03, -7.0870E-04, 9.968072915E-03, -1.97947E-03, 1.1161745335E-02, 3.88563E-03, 2.1045860525E-02, 2.66373E-03, 2.1733422833E-02, -5.6207E-04, 2.4200265148E-02, 1.49071E-03, 2.7112972832E-02, -1.36852E-03, 3.0800967877E-02, -3.07918E-03, 3.1982647826E-02, -1.29521E-03, 3.3684567760E-02, 1.31965E-03, 3.4436463048E-02, 2.95699E-03, 3.5454675234E-02, 1.41740E-03, 4.2422420092E-02, -1.46628E-03, 4.6244652935E-02, 1.00196E-03
-2.49515E-07, 1.31965E-03, 6.568990383E-03, 3.66569E-03, 6.968260450E-03, -4.3988E-04, 9.968073071E-03, -1.80841E-03, 1.1161745491E-02, 3.98338E-03, 2.1045860681E-02, 2.98143E-03, 2.1733422989E-02, -3.1769E-04, 2.4200265305E-02, 1.68622E-03, 2.7112972989E-02, -1.36852E-03, 3.0800968033E-02, -3.03030E-03, 3.1982647983E-02, -1.07527E-03, 3.3684567916E-02, 1.24633E-03, 3.4436463204E-02, 3.29912E-03, 3.5454675391E-02, 1.51515E-03, 4.2422420248E-02, -1.66178E-03, 4.6244653092E-02, 9.7752E-04
-2.49358E-07, 1.36852E-03, 6.568990539E-03, 3.56794E-03, 6.968260607E-03, -2.4438E-04, 9.968073227E-03, -1.68622E-03, 1.1161745647E-02, 3.93451E-03, 2.1045860837E-02, 3.17693E-03, 2.1733423146E-02, -1.7107E-04, 2.4200265461E-02, 1.75953E-03, 2.7112973145E-02, -1.46628E-03, 3.0800968189E-02, -3.05474E-03, 3.1982648139E-02, -1.00196E-03, 3.3684568072E-02, 1.05083E-03, 3.4436463361E-02, 3.49462E-03, 3.5454675547E-02, 1.51515E-03, 4.2422420405E-02, -1.93060E-03, 4.6244653248E-02, 8.0645E-04
-2.49202E-07, 1.49071E-03, 6.568990695E-03, 3.56794E-03, 6.968260763E-03, 2.444E-05, 9.968073383E-03, -1.46628E-03, 1.1161745803E-02, 3.95894E-03, 2.1045860993E-02, 3.42131E-03, 2.1733423302E-02, 4.888E-05, 2.4200265617E-02, 1.90616E-03, 2.7112973301E-02, -1.39296E-03, 3.0800968345E-02, -2.95699E-03, 3.1982648295E-02, -8.3089E-04, 3.3684568228E-02, 9.7752E-04, 3.4436463517E-02, 3.78788E-03, 3.5454675703E-02, 1.58847E-03, 4.2422420561E-02, -2.07722E-03, 4.6244653404E-02, 7.3314E-04
-2.49046E-07, 1.56403E-03, 6.568990851E-03, 3.54350E-03, 6.968260919E-03, 2.9326E-04, 9.968073540E-03, -1.24633E-03, 1.1161745960E-02, 3.91007E-03, 2.1045861150E-02, 3.61681E-03, 2.1733423458E-02, 2.6882E-04, 2.4200265773E-02, 2.02835E-03, 2.7112973457E-02, -1.34409E-03, 3.0800968502E-02, -2.83480E-03, 3.1982648451E-02, -7.0870E-04, 3.3684568385E-02, 8.5533E-04, 3.4436463673E-02, 3.98338E-03, 3.5454675859E-02, 1.61290E-03, 4.2422420717E-02, -2.24829E-03, 4.6244653560E-02, 6.1095E-04
-2.48890E-07, 1.63734E-03, 6.568991008E-03, 3.56794E-03, 6.968261075E-03, 5.8651E-04, 9.968073696E-03, -9.7752E-04, 1.1161746116E-02, 3.88563E-03, 2.1045861306E-02, 3.76344E-03, 2.1733423614E-02, 4.6432E-04, 2.4200265930E-02, 2.15054E-03, 2.7112973614E-02, -1.24633E-03, 3.0800968658E-02, -2.68817E-03, 3.1982648608E-02, -5.8651E-04, 3.3684568541E-02, 7.8201E-04, 3.4436463829E-02, 4.20332E-03, 3.5454676016E-02, 1.66178E-03, 4.2422420873E-02, -2.37048E-03, 4.6244653717E-02, 5.1320E-04
-2.48733E-07, 1.68622E-03, 6.568991164E-03, 3.59238E-03, 6.968261232E-03, 8.7977E-04, 9.968073852E-03, -7.0870E-04, 1.1161746272E-02, 3.83675E-03, 2.1045861462E-02, 3.88563E-03, 2.1733423771E-02, 6.8426E-04, 2.4200266086E-02, 2.27273E-03, 2.7112973770E-02, -1.09971E-03, 3.0800968814E-02, -2.49267E-03, 3.1982648764E-02, -4.8876E-04, 3.3684568697E-02, 7.0870E-04, 3.4436463986E-02, 4.34995E-03, 3.5454676172E-02, 1.71065E-03, 4.2422421030E-02, -2.44379E-03, 4.6244653873E-02, 4.3988E-04
-2.48577E-07, 1.68622E-03, 6.568991320E-03, 3.61681E-03, 6.968261388E-03, 1.12414E-03, 9.968074008E-03, -4.6432E-04, 1.1161746428E-02, 3.73900E-03, 2.1045861618E-02, 3.91007E-03, 2.1733423927E-02, 8.7977E-04, 2.4200266242E-02, 2.32160E-03, 2.7112973926E-02, -9.2864E-04, 3.0800968970E-02, -2.29717E-03, 3.1982648920E-02, -4.3988E-04, 3.3684568853E-02, 6.3539E-04, 3.4436464142E-02, 4.47214E-03, 3.5454676328E-02, 1.68622E-03, 4.2422421186E-02, -2.54154E-03, 4.6244654029E-02, 3.1769E-04
