Time Tags (Channel 1),Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
-2.48358E-07, 1.14858E-03, 9.811866560E-03, 1.07527E-03, 1.0748929157E-02, 4.39883E-03, 2.7022451737E-02, 4.00782E-03, 3.4076424090E-02, 6.8426E-04, 3.8282006384E-02, 5.35191E-03, 4.1317107022E-02, 3.54350E-03, 5.9609761575E-02, -2.9326E-04
-2.48201E-07, 1.14858E-03, 9.811866717E-03, 9.7752E-04, 1.0748929313E-02, 4.83871E-03, 2.7022451893E-02, 3.71456E-03, 3.4076424246E-02, 8.0645E-04, 3.8282006540E-02, 5.15640E-03, 4.1317107179E-02, 3.49462E-03, 5.9609761731E-02, -2.444E-05
-2.48045E-07, 1.09971E-03, 9.811866873E-03, 8.3089E-04, 1.0748929470E-02, 5.18084E-03, 2.7022452050E-02, 3.34800E-03, 3.4076424402E-02, 8.7977E-04, 3.8282006696E-02, 4.88759E-03, 4.1317107335E-02, 3.34800E-03, 5.9609761888E-02, 2.4438E-04
-2.47889E-07, 1.09971E-03, 9.811867029E-03, 7.0870E-04, 1.0748929626E-02, 5.52297E-03, 2.7022452206E-02, 3.03030E-03, 3.4076424558E-02, 9.5308E-04, 3.8282006853E-02, 4.64321E-03, 4.1317107491E-02, 3.27468E-03, 5.9609762044E-02, 5.6207E-04
-2.47733E-07, 1.07527E-03, 9.811867185E-03, 5.6207E-04, 1.0748929782E-02, 5.79179E-03, 2.7022452362E-02, 2.68817E-03, 3.4076424715E-02, 1.00196E-03, 3.8282007009E-02, 4.34995E-03, 4.1317107647E-02, 3.17693E-03, 5.9609762200E-02, 9.2864E-04
-2.47576E-07, 1.07527E-03, 9.811867342E-03, 4.1544E-04, 1.0748929938E-02, 6.03617E-03, 2.7022452518E-02, 2.37048E-03, 3.4076424871E-02, 1.05083E-03, 3.8282007165E-02, 4.05670E-03, 4.1317107804E-02, 3.07918E-03, 5.9609762356E-02, 1.29521E-03
-2.47420E-07, 1.07527E-03, 9.811867498E-03, 2.6882E-04, 1.0748930095E-02, 6.20723E-03, 2.7022452675E-02, 2.05279E-03, 3.4076425027E-02, 1.07527E-03, 3.8282007321E-02, 3.71456E-03, 4.1317107960E-02, 3.00587E-03, 5.9609762513E-02, 1.68622E-03
-2.47264E-07, 1.07527E-03, 9.811867654E-03, 1.2219E-04, 1.0748930251E-02, 6.32942E-03, 2.7022452831E-02, 1.73509E-03, 3.4076425183E-02, 1.07527E-03, 3.8282007478E-02, 3.34800E-03, 4.1317108116E-02, 2.90811E-03, 5.9609762669E-02, 2.07722E-03
-2.47108E-07, 1.07527E-03, 9.811867810E-03, 0.0E+00, 1.0748930407E-02, 6.40274E-03, 2.7022452987E-02, 1.44184E-03, 3.4076425340E-02, 1.02639E-03, 3.8282007634E-02, 2.95699E-03, 4.1317108272E-02, 2.81036E-03, 5.9609762825E-02, 2.46823E-03
-2.46951E-07, 1.07527E-03, 9.811867967E-03, -1.2219E-04, 1.0748930563E-02, 6.40274E-03, 2.7022453143E-02, 1.17302E-03, 3.4076425496E-02, 1.00196E-03, 3.8282007790E-02, 2.56598E-03, 4.1317108429E-02, 2.71261E-03, 5.9609762981E-02, 2.85924E-03
-2.46795E-07, 1.07527E-03, 9.811868123E-03, -2.4438E-04, 1.0748930720E-02, 6.35386E-03, 2.7022453300E-02, 9.0420E-04, 3.4076425652E-02, 9.2864E-04, 3.8282007946E-02, 2.12610E-03, 4.1317108585E-02, 2.63930E-03, 5.9609763138E-02, 3.22581E-03
-2.46639E-07, 1.14858E-03, 9.811868279E-03, -2.9326E-04, 1.0748930876E-02, 6.28055E-03, 2.7022453456E-02, 7.3314E-04, 3.4076425808E-02, 9.0420E-04, 3.8282008103E-02, 1.73509E-03, 4.1317108741E-02, 2.59042E-03, 5.9609763294E-02, 3.64125E-03
-2.46483E-07, 1.14858E-03, 9.811868435E-03, -3.9101E-04, 1.0748931032E-02, 6.10948E-03, 2.7022453612E-02, 5.1320E-04, 3.4076425965E-02, 8.0645E-04, 3.8282008259E-02, 1.29521E-03, 4.1317108897E-02, 2.51711E-03, 5.9609763450E-02, 3.95894E-03
-2.46326E-07, 1.19746E-03, 9.811868592E-03, -3.9101E-04, 1.0748931188E-02, 5.93842E-03, 2.7022453768E-02, 3.6657E-04, 3.4076426121E-02, 7.3314E-04, 3.8282008415E-02, 8.7977E-04, 4.1317109054E-02, 2.46823E-03, 5.9609763606E-02, 4.30108E-03
-2.46170E-07, 1.19746E-03, 9.811868748E-03, -4.1544E-04, 1.0748931345E-02, 5.69404E-03, 2.7022453925E-02, 2.4438E-04, 3.4076426277E-02, 6.1095E-04, 3.8282008571E-02, 4.1544E-04, 4.1317109210E-02, 2.39492E-03, 5.9609763763E-02, 4.56989E-03
-2.46014E-07, 1.27077E-03, 9.811868904E-03, -3.6657E-04, 1.0748931501E-02, 5.42522E-03, 2.7022454081E-02, 1.7107E-04, 3.4076426433E-02, 5.3763E-04, 3.8282008728E-02, 2.444E-05, 4.1317109366E-02, 2.37048E-03, 5.9609763919E-02, 4.86315E-03
-2.45858E-07, 1.29521E-03, 9.811869060E-03, -3.4213E-04, 1.0748931657E-02, 5.10753E-03, 2.7022454237E-02, 9.775E-05, 3.4076426590E-02, 4.1544E-04, 3.8282008884E-02, -3.9101E-04, 4.1317109522E-02, 2.32160E-03, 5.9609764075E-02, 5.08309E-03
-2.45701E-07, 1.36852E-03, 9.811869217E-03, -2.4438E-04, 1.0748931813E-02, 4.78983E-03, 2.7022454393E-02, 9.775E-05, 3.4076426746E-02, 3.4213E-04, 3.8282009040E-02, -7.8201E-04, 4.1317109679E-02, 2.32160E-03, 5.9609764231E-02, 5.30303E-03
-2.45545E-07, 1.39296E-03, 9.811869373E-03, -1.4663E-04, 1.0748931970E-02, 4.39883E-03, 2.7022454550E-02, 7.331E-05, 3.4076426902E-02, 1.9550E-04, 3.8282009196E-02, -1.17302E-03, 4.1317109835E-02, 2.27273E-03, 5.9609764388E-02, 5.44966E-03
-2.45389E-07, 1.46628E-03, 9.811869529E-03, 0.0E+00, 1.0748932126E-02, 4.05670E-03, 2.7022454706E-02, 1.2219E-04, 3.4076427058E-02, 1.2219E-04, 3.8282009353E-02, -1.51515E-03, 4.1317109991E-02, 2.27273E-03, 5.9609764544E-02, 5.57185E-03
-2.45233E-07, 1.51515E-03, 9.811869685E-03, 1.7107E-04, 1.0748932282E-02, 3.66569E-03, 2.7022454862E-02, 1.7107E-04, 3.4076427215E-02, 0.0E+00, 3.8282009509E-02, -1.83284E-03, 4.1317110147E-02, 2.24829E-03, 5.9609764700E-02, 5.66960E-03
-2.45076E-07, 1.58847E-03, 9.811869842E-03, 3.6657E-04, 1.0748932438E-02, 3.27468E-03, 2.7022455018E-02, 2.6882E-04, 3.4076427371E-02, -9.775E-05, 3.8282009665E-02, -2.10166E-03, 4.1317110304E-02, 2.24829E-03, 5.9609764856E-02, 5.74291E-03
-2.44920E-07, 1.66178E-03, 9.811869998E-03, 5.8651E-04, 1.0748932595E-02, 2.90811E-03, 2.7022455175E-02, 3.6657E-04, 3.4076427527E-02, -1.7107E-04, 3.8282009821E-02, -2.34604E-03, 4.1317110460E-02, 2.24829E-03, 5.9609765013E-02, 5.76735E-03
-2.44764E-07, 1.73509E-03, 9.811870154E-03, 8.0645E-04, 1.0748932751E-02, 2.51711E-03, 2.7022455331E-02, 4.8876E-04, 3.4076427683E-02, -2.9326E-04, 3.8282009978E-02, -2.56598E-03, 4.1317110616E-02, 2.24829E-03, 5.9609765169E-02, 5.74291E-03
-2.44608E-07, 1.78397E-03, 9.811870310E-03, 1.02639E-03, 1.0748932907E-02, 2.15054E-03, 2.7022455487E-02, 6.1095E-04, 3.4076427840E-02, -3.6657E-04, 3.8282010134E-02, -2.73705E-03, 4.1317110772E-02, 2.22385E-03, 5.9609765325E-02, 5.69404E-03
-2.44451E-07, 1.85728E-03, 9.811870467E-03, 1.27077E-03, 1.0748933063E-02, 1.80841E-03, 2.7022455643E-02, 7.5758E-04, 3.4076427996E-02, -4.6432E-04, 3.8282010290E-02, -2.85924E-03, 4.1317110929E-02, 2.19941E-03, 5.9609765481E-02, 5.62072E-03
-2.44295E-07, 1.90616E-03, 9.811870623E-03, 1.49071E-03, 1.0748933220E-02, 1.46628E-03, 2.7022455800E-02, 8.7977E-04, 3.4076428152E-02, -5.3763E-04, 3.8282010446E-02, -2.95699E-03, 4.1317111085E-02, 2.17498E-03, 5.9609765638E-02, 5.52297E-03
-2.44139E-07, 2.00391E-03, 9.811870779E-03, 1.78397E-03, 1.0748933376E-02, 1.22190E-03, 2.7022455956E-02, 1.07527E-03, 3.4076428308E-02, -5.8651E-04, 3.8282010603E-02, -2.93255E-03, 4.1317111241E-02, 2.19941E-03, 5.9609765794E-02, 5.44966E-03
-2.43983E-07, 2.05279E-03, 9.811870935E-03, 1.97947E-03, 1.0748933532E-02, 9.2864E-04, 2.7022456112E-02, 1.19746E-03, 3.4076428465E-02, -6.5982E-04, 3.8282010759E-02, -2.95699E-03, 4.1317111397E-02, 2.17498E-03, 5.9609765950E-02, 5.30303E-03
-2.43826E-07, 2.12610E-03, 9.811871092E-03, 2.22385E-03, 1.0748933688E-02, 7.3314E-04, 2.7022456268E-02, 1.36852E-03, 3.4076428621E-02, -7.0870E-04, 3.8282010915E-02, -2.85924E-03, 4.1317111554E-02, 2.15054E-03, 5.9609766106E-02, 5.18084E-03
-2.43670E-07, 2.17498E-03, 9.811871248E-03, 2.41935E-03, 1.0748933845E-02, 5.3763E-04, 2.7022456425E-02, 1.51515E-03, 3.4076428777E-02, -7.5758E-04, 3.8282011071E-02, -2.78592E-03, 4.1317111710E-02, 2.12610E-03, 5.9609766263E-02, 5.00978E-03
-2.43514E-07, 2.24829E-03, 9.811871404E-03, 2.63930E-03, 1.0748934001E-02, 4.1544E-04, 2.7022456581E-02, 1.68622E-03, 3.4076428933E-02, -7.5758E-04, 3.8282011228E-02, -2.61486E-03, 4.1317111866E-02, 2.12610E-03, 5.9609766419E-02, 4.88759E-03
-2.43358E-07, 2.27273E-03, 9.811871560E-03, 2.78592E-03, 1.0748934157E-02, 3.1769E-04, 2.7022456737E-02, 1.80841E-03, 3.4076429090E-02, -7.8201E-04, 3.8282011384E-02, -2.41935E-03, 4.1317112022E-02, 2.07722E-03, 5.9609766575E-02, 4.71652E-03
