	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1
Revision:           	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Type:               	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation
Start:              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Points:             	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
Count:              	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
XDispRange:         	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07
XDispOrg:           	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07
XInc:               	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09
XOrg:               	-6.66697936455E-07	-6.67051769569E-07	-6.65552068312E-07	-6.67159508754E-07	-6.67355828469E-07	-6.65745006723E-07	-6.65479403181E-07	-6.66159856612E-07	-6.65336003900E-07	-6.66584114643E-07	-6.65618349689E-07	-6.66775154736E-07	-6.65485940003E-07	-6.66962334773E-07	-6.65430916685E-07	-6.65583696927E-07
Units:              	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second
XReference:         	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
YDispRange:         	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00	1.60000E+00
YDispOrg:           	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01	-4.04000014066696E-01
YInc:               	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05	2.4437927663734E-05
YOrg:               	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01	-4.03217986314761E-01
Units:              	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt
YReference:         	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Frame:              	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128
Date:               	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023
Time Tags: 0.0E+00	1.177316464902E+00	1.252588301259E+00	1.433733127584E+00	2.139817587686E+00	2.277993201152E+00	2.481328090825E+00	2.792842253923E+00	2.999686848252E+00	4.703516679561E+00	5.160836421161E+00	5.788570089639E+00	6.476983746045E+00	6.818252542381E+00	6.819137643522E+00	6.858243856020E+00
Max Bandwidth:      	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000
Min Bandwidth:      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1
2.15836E-03	3.64907E-03	2.2776E-04	1.98729E-03	-3.58456E-03	2.69599E-03	1.03421E-03	3.82014E-03	-1.72727E-03	-8.7195E-04	3.86901E-03	2.18280E-03	8.63441E-03	1.08309E-03	2.81818E-03	2.03617E-03
1.81623E-03	4.30890E-03	7.6540E-04	2.35386E-03	-2.53372E-03	2.23167E-03	9.6090E-04	2.52493E-03	-1.82502E-03	-6.0313E-04	2.94037E-03	2.59824E-03	8.39003E-03	2.32942E-03	3.06256E-03	2.91593E-03
1.47410E-03	4.65103E-03	1.15640E-03	2.69599E-03	-9.6970E-04	1.47410E-03	5.4545E-04	1.05865E-03	-1.65396E-03	-5.2981E-04	2.23167E-03	3.16031E-03	7.14369E-03	3.64907E-03	3.55132E-03	3.47801E-03
1.37634E-03	4.69990E-03	1.47410E-03	2.91593E-03	7.6540E-04	5.9433E-04	7.82E-06	-6.549E-05	-1.11632E-03	-4.8094E-04	2.03617E-03	3.99120E-03	5.38416E-03	4.94428E-03	4.30890E-03	3.69795E-03
1.44966E-03	4.30890E-03	1.57185E-03	2.81818E-03	2.20723E-03	-2.8544E-04	-5.7869E-04	-7.4976E-04	-3.5875E-04	-4.5650E-04	2.32942E-03	4.89541E-03	3.55132E-03	6.04399E-03	5.09091E-03	3.30694E-03
1.71848E-03	3.57576E-03	1.49853E-03	2.40274E-03	3.08700E-03	-9.2082E-04	-9.2082E-04	-8.7195E-04	5.2102E-04	-2.6100E-04	2.96481E-03	5.77517E-03	2.20723E-03	6.92375E-03	5.60411E-03	2.42717E-03
1.91398E-03	2.50049E-03	1.18084E-03	1.62072E-03	3.13587E-03	-1.21408E-03	-9.6970E-04	-7.0088E-04	1.15640E-03	7.82E-06	3.47801E-03	6.26393E-03	1.57185E-03	7.43695E-03	5.43304E-03	1.00978E-03
2.03617E-03	1.42522E-03	9.3646E-04	8.1427E-04	2.62268E-03	-8.9638E-04	-3.5875E-04	-3.0987E-04	1.54741E-03	5.6989E-04	3.69795E-03	6.38612E-03	1.79179E-03	7.75464E-03	4.57771E-03	-5.0538E-04
1.91398E-03	4.9658E-04	8.3871E-04	2.7664E-04	1.71848E-03	7.82E-06	8.6315E-04	8.113E-05	1.57185E-03	1.25415E-03	3.40469E-03	6.09286E-03	2.67155E-03	7.80352E-03	3.06256E-03	-1.82502E-03
1.64516E-03	7.82E-06	1.05865E-03	2.2776E-04	7.4096E-04	1.35191E-03	2.59824E-03	4.2326E-04	1.37634E-03	2.03617E-03	2.69599E-03	5.48192E-03	3.84457E-03	7.58358E-03	1.25415E-03	-2.63148E-03
1.18084E-03	-1.1437E-04	1.47410E-03	5.9433E-04	-2.3656E-04	2.72043E-03	4.38221E-03	5.4545E-04	9.6090E-04	2.52493E-03	1.66960E-03	4.60215E-03	4.74878E-03	6.85044E-03	-5.0538E-04	-2.90029E-03
9.3646E-04	3.0108E-04	2.18280E-03	1.37634E-03	-9.2082E-04	3.84457E-03	6.01955E-03	6.4321E-04	7.1652E-04	2.79374E-03	8.1427E-04	3.79570E-03	5.18866E-03	5.77517E-03	-1.55621E-03	-2.48485E-03
1.03421E-03	1.10753E-03	2.94037E-03	2.20723E-03	-1.38514E-03	4.40665E-03	7.09482E-03	7.1652E-04	6.9208E-04	2.69599E-03	4.2326E-04	3.18475E-03	5.06647E-03	4.33333E-03	-1.65396E-03	-1.65396E-03
1.64516E-03	2.20723E-03	3.62463E-03	2.72043E-03	-1.60508E-03	4.30890E-03	7.46139E-03	8.1427E-04	9.8534E-04	2.30499E-03	6.6764E-04	2.94037E-03	4.55327E-03	2.74487E-03	-6.2757E-04	-5.2981E-04
2.59824E-03	3.28250E-03	3.84457E-03	2.54936E-03	-1.80059E-03	3.50244E-03	6.99707E-03	8.6315E-04	1.35191E-03	1.64516E-03	1.35191E-03	2.94037E-03	3.84457E-03	1.08309E-03	1.15640E-03	4.7214E-04
3.74682E-03	4.30890E-03	3.67351E-03	1.76735E-03	-1.82502E-03	2.35386E-03	6.04399E-03	9.6090E-04	1.69404E-03	1.03421E-03	2.35386E-03	3.18475E-03	3.40469E-03	-1.8768E-04	3.38025E-03	1.32747E-03
4.72434E-03	5.09091E-03	3.08700E-03	5.9433E-04	-1.72727E-03	1.18084E-03	4.89541E-03	1.05865E-03	1.79179E-03	5.6989E-04	3.20919E-03	3.47801E-03	3.40469E-03	-9.2082E-04	5.38416E-03	1.91398E-03
5.21310E-03	5.60411E-03	2.28055E-03	-5.0538E-04	-1.36070E-03	3.7439E-04	3.99120E-03	1.25415E-03	1.54741E-03	3.9883E-04	3.64907E-03	3.72239E-03	3.99120E-03	-9.2082E-04	6.72825E-03	2.35386E-03
4.89541E-03	5.70186E-03	1.35191E-03	-1.16520E-03	-8.9638E-04	-1.662E-05	3.42913E-03	1.42522E-03	8.8759E-04	3.2551E-04	3.38025E-03	3.64907E-03	4.82209E-03	-4.0762E-04	6.89932E-03	2.59824E-03
3.96676E-03	5.48192E-03	7.6540E-04	-9.2082E-04	-1.8768E-04	1.7889E-04	3.45357E-03	1.74291E-03	1.5445E-04	3.9883E-04	2.59824E-03	3.38025E-03	5.75073E-03	6.4321E-04	5.97067E-03	2.91593E-03
2.69599E-03	5.01760E-03	6.6764E-04	2.0332E-04	5.9433E-04	7.1652E-04	3.96676E-03	2.15836E-03	-4.0762E-04	4.7214E-04	1.44966E-03	2.96481E-03	6.38612E-03	1.93842E-03	4.16227E-03	3.33138E-03
1.54741E-03	4.38221E-03	1.18084E-03	1.96285E-03	1.35191E-03	1.42522E-03	4.69990E-03	2.69599E-03	-4.8094E-04	4.9658E-04	3.4995E-04	2.59824E-03	6.53275E-03	3.23363E-03	2.01173E-03	3.82014E-03
8.1427E-04	3.52688E-03	2.06061E-03	3.69795E-03	1.76735E-03	1.88954E-03	5.26197E-03	3.08700E-03	-4.106E-05	3.0108E-04	-5.7869E-04	2.30499E-03	5.97067E-03	4.23558E-03	-6.549E-05	4.11339E-03
8.6315E-04	2.72043E-03	3.23363E-03	4.96872E-03	1.91398E-03	2.13392E-03	5.50635E-03	3.42913E-03	9.3646E-04	1.3001E-04	-1.06745E-03	2.37830E-03	4.99316E-03	4.96872E-03	-1.38514E-03	4.18671E-03
1.64516E-03	1.98729E-03	4.28446E-03	5.35973E-03	1.79179E-03	2.13392E-03	5.28641E-03	3.57576E-03	2.18280E-03	3.226E-05	-1.14076E-03	2.76931E-03	3.79570E-03	5.35973E-03	-1.70283E-03	3.84457E-03
2.86706E-03	1.42522E-03	4.96872E-03	4.82209E-03	1.59629E-03	2.08504E-03	4.67546E-03	3.60020E-03	3.33138E-03	1.5445E-04	-9.2082E-04	3.50244E-03	2.81818E-03	5.53079E-03	-8.7195E-04	3.13587E-03
3.96676E-03	9.8534E-04	4.99316E-03	3.42913E-03	1.37634E-03	2.08504E-03	3.74682E-03	3.42913E-03	3.89345E-03	4.2326E-04	-6.7644E-04	4.26002E-03	2.18280E-03	5.43304E-03	7.1652E-04	1.98729E-03
4.72434E-03	7.8983E-04	4.43109E-03	1.88954E-03	1.47410E-03	2.40274E-03	2.94037E-03	3.28250E-03	3.89345E-03	9.6090E-04	-4.0762E-04	4.96872E-03	2.20723E-03	5.31085E-03	2.79374E-03	7.4096E-04
4.82209E-03	8.1427E-04	3.42913E-03	6.9208E-04	1.93842E-03	3.03812E-03	2.40274E-03	3.18475E-03	3.28250E-03	1.64516E-03	-1.1437E-04	5.35973E-03	2.86706E-03	5.18866E-03	4.79765E-03	-3.0987E-04
4.35777E-03	1.05865E-03	2.30499E-03	3.7439E-04	2.74487E-03	3.96676E-03	2.30499E-03	3.28250E-03	2.42717E-03	2.37830E-03	3.2551E-04	5.35973E-03	4.01564E-03	5.11535E-03	6.26393E-03	-8.4751E-04
3.47801E-03	1.35191E-03	1.18084E-03	9.1202E-04	3.57576E-03	4.82209E-03	2.47605E-03	3.35582E-03	1.49853E-03	2.94037E-03	8.8759E-04	4.84653E-03	5.16422E-03	4.94428E-03	6.77713E-03	-8.4751E-04
2.62268E-03	1.74291E-03	4.7214E-04	2.30499E-03	4.26002E-03	5.43304E-03	2.94037E-03	3.45357E-03	9.8534E-04	3.40469E-03	1.76735E-03	4.06452E-03	6.16618E-03	4.79765E-03	6.43500E-03	-1.3881E-04
2.03617E-03	2.10948E-03	1.7889E-04	4.13783E-03	4.50440E-03	5.60411E-03	3.42913E-03	3.38025E-03	1.03421E-03	3.64907E-03	2.84262E-03	3.18475E-03	6.65494E-03	4.57771E-03	5.40860E-03	1.08309E-03
1.86510E-03	2.37830E-03	3.2551E-04	5.94624E-03	4.21114E-03	5.26197E-03	3.82014E-03	3.08700E-03	1.64516E-03	3.82014E-03	3.91789E-03	2.54936E-03	6.58162E-03	4.33333E-03	4.08895E-03	2.59824E-03
1.81623E-03	2.37830E-03	5.9433E-04	7.19257E-03	3.30694E-03	4.38221E-03	3.86901E-03	2.35386E-03	2.45161E-03	3.79570E-03	4.57771E-03	2.20723E-03	5.84849E-03	3.86901E-03	2.86706E-03	3.89345E-03
1.74291E-03	2.23167E-03	9.6090E-04	7.82796E-03	2.10948E-03	3.28250E-03	3.74682E-03	1.40078E-03	3.28250E-03	3.77126E-03	4.69990E-03	2.40274E-03	4.77322E-03	3.40469E-03	2.20723E-03	4.84653E-03
1.32747E-03	1.98729E-03	1.27859E-03	7.77908E-03	8.3871E-04	2.23167E-03	3.45357E-03	3.4995E-04	3.86901E-03	3.69795E-03	4.13783E-03	3.01369E-03	3.60020E-03	2.94037E-03	2.25611E-03	5.31085E-03
5.4545E-04	1.81623E-03	1.52297E-03	7.26588E-03	-1.8768E-04	1.47410E-03	3.08700E-03	-5.2981E-04	4.08895E-03	3.62463E-03	3.01369E-03	3.91789E-03	2.72043E-03	2.54936E-03	3.03812E-03	5.31085E-03
-6.7644E-04	1.64516E-03	1.62072E-03	6.38612E-03	-9.6970E-04	1.00978E-03	2.54936E-03	-1.11632E-03	3.86901E-03	3.35582E-03	1.49853E-03	4.65103E-03	2.15836E-03	2.13392E-03	4.06452E-03	4.89541E-03
-1.80059E-03	1.71848E-03	1.84066E-03	5.50635E-03	-1.36070E-03	1.03421E-03	1.98729E-03	-1.14076E-03	3.52688E-03	3.03812E-03	1.3001E-04	5.18866E-03	2.15836E-03	1.88954E-03	5.13978E-03	4.45552E-03
-2.46041E-03	1.98729E-03	2.15836E-03	4.67546E-03	-1.48289E-03	1.30303E-03	1.35191E-03	-6.0313E-04	3.18475E-03	2.67155E-03	-7.4976E-04	5.26197E-03	2.59824E-03	1.66960E-03	5.79961E-03	4.11339E-03
-2.31378E-03	2.37830E-03	2.67155E-03	4.04008E-03	-1.48289E-03	1.74291E-03	6.6764E-04	4.4770E-04	3.03812E-03	2.35386E-03	-8.9638E-04	4.96872E-03	3.28250E-03	1.52297E-03	5.89736E-03	3.96676E-03
