	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1
Revision:           	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Type:               	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation	interpolation
Start:              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Points:             	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
Count:              	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
XDispRange:         	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07	5.00000E-07
XDispOrg:           	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07	-2.50000000000E-07
XInc:               	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09	2.500000000E-09
XOrg:               	-6.67109106298E-07	-6.67286956635E-07	-6.65761529145E-07	-6.67429711700E-07	-6.65794836252E-07	-6.65270165751E-07	-6.67043917611E-07	-6.67176434109E-07	-6.65445614223E-07	-6.65842202401E-07	-6.65064428359E-07	-6.65089080500E-07	-6.66305013542E-07	-6.65714333705E-07	-6.66158425603E-07	-6.65156866083E-07
Units:              	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second	Second
XReference:         	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
YDispRange:         	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00	4.00000E+00
YDispOrg:           	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01	-4.00000005960464E-01
YInc:               	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05	6.1094819159335E-05
YOrg:               	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01	-3.98044965786901E-01
Units:              	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt	Volt
YReference:         	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Frame:              	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128	MXR608A:MY60320128
Date:               	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023	6 MAR 2023
Time Tags: 0.0E+00	3.335867686E-03	3.952729020E-03	4.163645450E-03	7.793538898E-03	8.774068466E-03	8.943087456E-03	1.1717467697E-02	1.3013968767E-02	1.3345316411E-02	1.3675890820E-02	1.4063378077E-02	1.4716259406E-02	1.5165326059E-02	1.5213006622E-02	1.5466645539E-02
Max Bandwidth:      	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000	184332000
Min Bandwidth:      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1	Channel 1
4.888E-05	4.81427E-03	3.16471E-03	7.93011E-03	7.19697E-03	7.01369E-03	9.21310E-03	-8.19892E-03	2.79814E-03	8.66325E-03	6.58602E-03	1.196237E-02	3.65347E-03	5.11975E-03	-7.4536E-04	5.66960E-03
2.92033E-03	4.81427E-03	2.98143E-03	6.34164E-03	6.34164E-03	7.01369E-03	9.45748E-03	-9.42082E-03	3.53128E-03	8.05230E-03	6.52493E-03	1.373412E-02	5.54741E-03	4.87537E-03	1.51515E-03	6.21945E-03
5.11975E-03	4.32551E-03	3.59238E-03	5.54741E-03	6.03617E-03	7.13588E-03	9.39638E-03	-9.29863E-03	4.26442E-03	7.25806E-03	7.07478E-03	1.513930E-02	7.56354E-03	4.02004E-03	3.59238E-03	6.76931E-03
6.46383E-03	3.40909E-03	4.87537E-03	6.09726E-03	6.46383E-03	7.44135E-03	9.15200E-03	-7.58798E-03	5.05865E-03	6.46383E-03	7.80792E-03	1.593353E-02	9.27419E-03	2.73705E-03	5.05865E-03	7.13588E-03
6.64712E-03	2.24829E-03	6.34164E-03	7.68573E-03	7.31916E-03	7.68573E-03	8.78543E-03	-4.59433E-03	5.73069E-03	5.66960E-03	8.11339E-03	1.581134E-02	1.019062E-02	1.20968E-03	5.60850E-03	7.19697E-03
5.91398E-03	1.33187E-03	7.56354E-03	9.94624E-03	8.35777E-03	7.99120E-03	8.41887E-03	-1.11193E-03	6.21945E-03	5.11975E-03	7.74682E-03	1.471163E-02	1.019062E-02	-3.7879E-04	5.48631E-03	6.83040E-03
4.32551E-03	6.5982E-04	8.23558E-03	1.202346E-02	9.21310E-03	7.99120E-03	8.05230E-03	1.69844E-03	6.34164E-03	4.56989E-03	6.76931E-03	1.293988E-02	9.02981E-03	-1.96725E-03	4.81427E-03	6.09726E-03
2.55376E-03	5.9873E-04	8.47996E-03	1.330645E-02	9.94624E-03	7.86901E-03	7.80792E-03	3.28690E-03	6.09726E-03	4.32551E-03	5.85288E-03	1.110704E-02	7.25806E-03	-3.43353E-03	4.02004E-03	5.18084E-03
9.6530E-04	9.6530E-04	8.66325E-03	1.324536E-02	1.055718E-02	7.44135E-03	7.62463E-03	3.10362E-03	5.66960E-03	4.26442E-03	5.42522E-03	9.70186E-03	5.36413E-03	-4.65543E-03	3.47019E-03	4.26442E-03
-1.3441E-04	1.57625E-03	9.02981E-03	1.184018E-02	1.135142E-02	6.70821E-03	7.50244E-03	1.51515E-03	5.05865E-03	4.44770E-03	6.15836E-03	9.15200E-03	3.83675E-03	-5.51075E-03	3.22581E-03	3.53128E-03
-6.2317E-04	2.00391E-03	9.76295E-03	9.33529E-03	1.220674E-02	5.42522E-03	7.13588E-03	-9.2864E-04	4.38661E-03	4.69208E-03	7.86901E-03	9.39638E-03	2.79814E-03	-6.12170E-03	3.16471E-03	2.92033E-03
-6.2317E-04	2.24829E-03	1.080156E-02	6.46383E-03	1.324536E-02	3.59238E-03	6.64712E-03	-3.00587E-03	3.77566E-03	5.18084E-03	1.043500E-02	1.019062E-02	2.43157E-03	-6.06061E-03	3.34800E-03	2.49267E-03
-3.1769E-04	2.18719E-03	1.177908E-02	3.95894E-03	1.422287E-02	1.45406E-03	5.91398E-03	-3.92229E-03	3.34800E-03	5.85288E-03	1.318426E-02	1.098485E-02	2.43157E-03	-5.26637E-03	3.65347E-03	2.30938E-03
-7.331E-05	1.94282E-03	1.226784E-02	2.49267E-03	1.477273E-02	-6.8426E-04	5.05865E-03	-3.18915E-03	3.04252E-03	6.70821E-03	1.532258E-02	1.110704E-02	2.43157E-03	-3.67791E-03	4.08113E-03	2.30938E-03
